depth;LowCost;HighCmpl;S&P;HyBlock
3.0;0.0;99.61;95.29;94.92
3.0;0.0;99.41;100.0;99.41
3.0;0.0;99.22;98.62;97.66
3.0;0.0;99.61;100.0;99.61
3.0;0.0;98.83;87.77;97.46
3.0;0.0;99.41;93.74;93.55
3.0;0.0;99.61;98.43;98.05
3.0;0.0;99.8;98.63;98.24
3.0;0.0;99.61;97.25;96.68
3.0;0.0;98.83;97.05;96.29
3.0;0.0;100.0;100.0;100.0
3.0;0.0;99.22;98.43;98.24
3.0;0.0;99.41;98.43;97.85
3.0;0.0;99.02;97.04;96.09
3.0;0.0;99.41;96.86;96.48
3.0;0.0;99.41;0.0;97.85
3.0;0.0;99.61;96.86;96.48
3.0;0.0;99.22;82.94;93.36
3.0;0.0;100.0;98.63;98.44
3.0;0.0;99.22;0.0;96.48
3.0;0.0;99.02;95.29;94.92
3.0;0.0;99.61;83.14;94.92
3.0;0.0;98.83;98.62;97.66
3.0;0.0;99.8;96.88;96.88
3.0;0.0;98.44;99.01;95.9
3.0;0.0;98.24;94.46;92.97
3.0;0.0;99.61;87.84;98.05
3.0;0.0;99.8;97.06;96.88
3.0;0.0;99.61;98.63;98.24
3.0;0.0;99.8;93.75;93.75
3.0;0.0;99.22;92.16;91.8
3.0;0.0;99.22;98.82;98.05
3.0;0.0;98.83;98.62;97.46
3.0;0.0;99.41;97.45;96.48
3.0;100.2;100.0;100.2;100.0
3.0;0.0;99.61;98.43;98.05
3.0;0.0;99.61;98.43;98.24
3.0;0.0;99.61;0.0;98.05
3.0;0.0;99.41;96.86;96.29
3.0;0.0;99.22;85.83;96.09
4.0;0.0;99.22;86.82;98.07
4.0;0.0;99.39;84.74;97.88
4.0;0.0;99.07;84.08;97.05
4.0;0.0;98.8;95.19;95.87
4.0;0.0;99.39;97.52;97.05
4.0;0.0;99.29;94.58;96.88
4.0;0.0;99.37;81.77;95.19
4.0;0.0;98.58;93.05;96.14
4.0;0.0;99.37;96.81;97.75
4.0;0.0;99.54;96.74;97.68
4.0;0.0;99.27;96.76;96.26
4.0;0.0;98.54;97.74;96.7
4.0;0.0;98.93;93.04;96.7
4.0;0.0;99.05;97.33;96.8
4.0;0.0;99.29;95.44;96.19
4.0;0.0;99.19;97.01;96.44
4.0;0.0;98.95;92.66;94.82
4.0;0.0;98.71;96.98;97.19
4.0;0.0;99.32;96.81;97.66
4.0;0.0;98.56;83.05;96.22
4.0;0.0;99.27;83.43;96.34
4.0;0.0;99.27;82.0;96.31
4.0;0.0;99.58;95.79;96.97
4.0;0.0;99.29;93.23;95.29
4.0;0.0;99.07;96.0;96.78
4.0;0.0;99.0;92.28;97.85
4.0;0.0;99.54;95.24;97.68
4.0;0.0;99.27;92.67;96.51
4.0;0.0;99.05;97.16;98.24
4.0;0.0;99.0;93.17;96.14
4.0;0.0;98.97;82.13;95.56
4.0;0.0;99.29;94.13;95.7
4.0;0.0;98.9;95.39;97.66
4.0;0.0;99.12;97.3;96.78
4.0;0.0;99.22;98.38;97.95
4.0;0.0;99.0;95.61;97.17
4.0;0.0;99.29;98.23;97.53
4.0;0.0;99.22;96.1;97.02
5.0;0.0;0.0;94.27;96.41
5.0;0.0;0.0;92.56;96.8
5.0;0.0;0.0;90.2;95.9
5.0;0.0;0.0;95.37;96.45
5.0;0.0;0.0;89.85;96.58
5.0;0.0;0.0;83.56;96.56
5.0;0.0;0.0;94.73;96.37
5.0;0.0;0.0;92.37;96.3
5.0;0.0;0.0;94.63;96.47
5.0;0.0;0.0;94.3;96.51
5.0;0.0;0.0;95.54;96.56
5.0;0.0;0.0;93.04;96.89
5.0;0.0;0.0;93.38;96.37
5.0;0.0;0.0;92.2;96.57
5.0;0.0;0.0;91.8;96.86
5.0;0.0;0.0;94.01;96.4
5.0;0.0;0.0;91.93;96.24
5.0;0.0;0.0;91.66;96.52
5.0;0.0;0.0;91.06;96.69
5.0;0.0;0.0;93.93;0.0
5.0;0.0;0.0;94.11;96.45
5.0;0.0;0.0;94.79;96.79
5.0;0.0;0.0;94.63;96.59
5.0;0.0;0.0;95.5;96.07
5.0;0.0;0.0;92.41;96.5
